Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID
Moneytalks,The Razors Edge,AC/DC,225946,5u5F7qLDvZjBSktaDp4HxB,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
The Razors Edge,The Razors Edge,AC/DC,262533,4ObCns6nM6tShx5a5tHiGC,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Mistress for Christmas,The Razors Edge,AC/DC,239520,6xwxKqCIdrs0RDWkmFxzZs,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Rock Your Heart Out,The Razors Edge,AC/DC,246680,1SbRJXUX4yNmAr7CZumctk,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Are You Ready,The Razors Edge,AC/DC,250333,7A1odihHBrI8n9k0Fefh2j,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Got You by the Balls,The Razors Edge,AC/DC,270240,1i0hnGnt14GL713mmOgJHh,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Shot of Love,The Razors Edge,AC/DC,236520,0NIotBOwHkVRocCRzi41da,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Let's Make It,The Razors Edge,AC/DC,212320,0FWmC11IDbq8T2ZTOnnBiL,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Goodbye and Good Riddance to Bad Luck,The Razors Edge,AC/DC,193560,3Y23ZSLRdk0d8YWAu4SnFb,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
If You Dare,The Razors Edge,AC/DC,198360,60YOadmxT3GeNlAHbrhR8U,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Heatseeker,Blow Up Your Video,AC/DC,230400,0h3A3hdDq762DzIOKUoF21,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
That's the Way I Wanna Rock 'N' Roll,Blow Up Your Video,AC/DC,225026,0u8J52fqQhQXKvAC23ICvO,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Meanstreak,Blow Up Your Video,AC/DC,248426,3C2qc99Ay92Iv43DknVttB,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Go Zone,Blow Up Your Video,AC/DC,266440,1a6B2hBwnJoqETESO6NDj3,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Kissin' Dynamite,Blow Up Your Video,AC/DC,238426,6MZc25P5QQDCYwUpYZ4gBA,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Nick of Time,Blow Up Your Video,AC/DC,256399,3wYDl8yi2F90kJdSUkyhJG,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Some Sin for Nuthin',Blow Up Your Video,AC/DC,251386,05spmNSk1TB5CFAEbAvLuu,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Ruff Stuff,Blow Up Your Video,AC/DC,268720,6D1r9yXvmn0zcw5vZuPSw5,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Two's Up,Blow Up Your Video,AC/DC,319973,4UBIdb16eo8bIykBM6JHE2,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
This Means War,Blow Up Your Video,AC/DC,272280,3TzodHWz58jKxePzBDqHf0,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Who Made Who,Who Made Who,AC/DC,207146,6rvldt6EoZwzogApECUCwd,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
You Shook Me All Night Long,Who Made Who,AC/DC,210880,6yl8Es1tCYD9WdSkeVLFw4,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
D.T.,Who Made Who,AC/DC,173653,1nUk7iNwJ26jIhNaEHt910,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
Sink the Pink,Who Made Who,AC/DC,253400,3yGEXeeMSZtXoEvfcLFF1m,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
Ride On,Who Made Who,AC/DC,349920,6vLemwLlTYDqQqbtXHRLRN,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
Hells Bells,Who Made Who,AC/DC,312893,2P884dqfjksDMSzUZksfrS,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
Shake Your Foundations,Who Made Who,AC/DC,231773,0dY2imDqcunCyIWoBfrcxB,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
Chase the Ace,Who Made Who,AC/DC,181360,4LZyChIF8hKAAtGuPsvKCY,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
For Those About to Rock (We Salute You),Who Made Who,AC/DC,353693,1Qf7H7d1TNP8VfPVDRLY0D,07EFoHHspqSwsmkbnWaB4A,711MCceyCBcFnzjGY4Q7Un
Fly on the Wall,Fly On the Wall,AC/DC,224253,4KLh3zTfRqxBPDVzOOy2yE,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Shake Your Foundations,Fly On the Wall,AC/DC,250586,1L21YTLKh6eJaIjQWRgzo7,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
First Blood,Fly On the Wall,AC/DC,226040,3u73GFE4Vr2Agnf6afmW0V,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Danger,Fly On the Wall,AC/DC,262480,4s0zx7jUjCe2qOswnEmQur,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Sink the Pink,Fly On the Wall,AC/DC,255146,4tEO5sXXoEOtxEPZJ15pgO,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Playing with Girls,Fly On the Wall,AC/DC,224946,4BE5gpzdVEVA9uROkm7GI9,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Stand Up,Fly On the Wall,AC/DC,233320,1UBmFT0L9ilDySXuuMBfK5,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Hell or High Water,Fly On the Wall,AC/DC,272346,44WgrjG7hWuKqx6KL4AyCR,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Back in Business,Fly On the Wall,AC/DC,264373,6FCp2G9cQKTBl2nd34vciA,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Send for the Man,Fly On the Wall,AC/DC,216880,0limokbfqb60BMM7c7Z2HE,0rOXa1wPbBrCNl6knMyDBW,711MCceyCBcFnzjGY4Q7Un
Rising Power,Flick of the Switch,AC/DC,223786,1P0SDqCttZZnmSU7YtPxQY,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
This House Is on Fire,Flick of the Switch,AC/DC,203493,6SRadf7zJ0PdkSqQ4Sqkvm,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
Flick of the Switch,Flick of the Switch,AC/DC,193600,0oIox8T3bdGZnhQKnaDK2a,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
Nervous Shakedown,Flick of the Switch,AC/DC,267080,05gjrT0jcQ0fRkHuYgJTdR,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
Landslide,Flick of the Switch,AC/DC,237760,0qKMZuEM8aejK1wz6Dmn8M,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
Guns for Hire,Flick of the Switch,AC/DC,204720,31F5kR9fPxI7lBV0Stfl4V,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
Deep in the Hole,Flick of the Switch,AC/DC,199506,5h8XlKa4TvIhOcJXsPvDX7,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
Bedlam in Belgium,Flick of the Switch,AC/DC,232226,1FeFtmh1lljY1AISeZLrhf,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
Badlands,Flick of the Switch,AC/DC,218560,4wL7XxJ7DNtIao5EaynvuP,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
Brain Shake,Flick of the Switch,AC/DC,249200,79Tq4tCfNGFJChySkOS5Dy,0ZD2tIjWo9fwzPndZ04wDY,711MCceyCBcFnzjGY4Q7Un
For Those About to Rock (We Salute You),For Those About to Rock (We Salute You),AC/DC,344240,17lu4tymfnhmcIDlzBbtAb,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
I Put the Finger on You,For Those About to Rock (We Salute You),AC/DC,205706,7KGbYZv593eAMISQjYqTDT,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
Let's Get It Up,For Those About to Rock (We Salute You),AC/DC,234026,1EJIEPzahlUiev5IQ1HnuL,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
Inject the Venom,For Those About to Rock (We Salute You),AC/DC,210893,31KSQBbHS275MsHgHmTD21,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
Snowballed,For Those About to Rock (We Salute You),AC/DC,203133,1is13OusVjtwAvLx5PcxcZ,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
Evil Walks,For Those About to Rock (We Salute You),AC/DC,263666,5ahPl557niKxia8Kquw1yh,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
C.O.D.,For Those About to Rock (We Salute You),AC/DC,199866,3zR16RvuoDiglmh4iTacvN,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
Breaking the Rules,For Those About to Rock (We Salute You),AC/DC,263426,1W0rNaAXmNzvfgp47JzcVQ,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
Night of the Long Knives,For Those About to Rock (We Salute You),AC/DC,205760,4NQJn1aSV9r6UmYErgzS4s,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
Spellbound,For Those About to Rock (We Salute You),AC/DC,279426,124CQLjNlenz6CTKVCV931,7DUvURQ0wfA1kgG8j99frR,711MCceyCBcFnzjGY4Q7Un
Hells Bells,Back In Black,AC/DC,312293,69QHm3pustz01CJRwdo20z,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
Shoot to Thrill,Back In Black,AC/DC,317426,0C80GCp0mMuBzLf3EAXqxv,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
What Do You Do for Money Honey,Back In Black,AC/DC,215533,6Th6ND8RQPywiyelecP5Lf,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
Givin the Dog a Bone,Back In Black,AC/DC,211760,6rAy2MsMUabbqu2VygrblP,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
Let Me Put My Love Into You,Back In Black,AC/DC,255266,5XeMsYb1rWxQL1bUUaZajn,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
Back In Black,Back In Black,AC/DC,255493,08mG3Y1vljYA6bvDt4Wqkj,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
You Shook Me All Night Long,Back In Black,AC/DC,210173,2SiXAy7TuUkycRVbbWDEpo,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
Have a Drink on Me,Back In Black,AC/DC,238466,4dDurgTN3eGyU0ghzFJ0T1,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
Shake a Leg,Back In Black,AC/DC,245666,2MCUmp0I98gsJBmey7DfZS,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
Rock and Roll Ain't Noise Pollution,Back In Black,AC/DC,266040,6J17MkMmuzBiIOjRH6MOBZ,6mUdeDZCsExyJLMdAfDuwh,711MCceyCBcFnzjGY4Q7Un
Highway to Hell,Highway to Hell,AC/DC,208400,2zYzyRzz6pRmhPzyfMEC8s,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
Girls Got Rhythm,Highway to Hell,AC/DC,203293,6Wn3pdFtAcnYJyJVITwt7N,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
Walk All Over You,Highway to Hell,AC/DC,310000,5xquYn2sr3uEcyuKU9BmCJ,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
Touch Too Much,Highway to Hell,AC/DC,266266,2j0zExWFB0PowLOeoZosjK,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
Beating Around the Bush,Highway to Hell,AC/DC,235706,7sZKoFbEu4mPuCMX5cxLSb,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
Shot Down in Flames,Highway to Hell,AC/DC,202866,6pivm7pNF4GyBkHNGseHCS,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
Get It Hot,Highway to Hell,AC/DC,154506,7HbHwtTGM3kCjDtmP00x4h,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
If You Want Blood (You've Got It),Highway to Hell,AC/DC,274226,7zscdQe9CjzXnqT3P1Ey7K,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
Love Hungry Man,Highway to Hell,AC/DC,257173,1Kbc8nH6BhsWnTuM22qypl,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
Night Prowler,Highway to Hell,AC/DC,387960,7w04gIWA7mIbqR03Ghyrkl,10v912xgTZbjAtYfyKWJCS,711MCceyCBcFnzjGY4Q7Un
"Riff Raff - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,359080,3TUyK8veWjZqlKFZRPwojT,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"Hell Ain't a Bad Place to Be - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,250960,3K8xCiaZKUhHHbO9QDpYjz,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"Bad Boy Boogie - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,449986,4Fa0k3oOSA5KTwpqhfGSSU,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"The Jack - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,348573,20vUoaDskVhjYMsNMryrD0,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"Problem Child - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,280933,0fUyiY8d2SxITRs5cJWR4X,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"Whole Lotta Rosie - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,245000,23t7CA5Oa5D1gRXyQL7wm8,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"Rock 'N' Roll Damnation - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,221053,3zVf2mdjHI2dCAVMyCGOKr,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"High Voltage - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,305360,4cQAnZie2nr9ZhymIBXi9v,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"Let There Be Rock - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,513706,3Vy9XOOTEU6zMvTozAcHZK,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
"Rocker - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),AC/DC,204906,3gG3w52fGzMpJdhcJURwaB,38MklVAM0DEnMCLucNckDD,711MCceyCBcFnzjGY4Q7Un
Rock 'N' Roll Damnation,Powerage,AC/DC,217640,2308VPPaMh7Q3AX1Zap99A,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
Down Payment Blues,Powerage,AC/DC,363733,4TJzAQN4lSRLMafylE0c4a,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
Gimme a Bullet,Powerage,AC/DC,201680,64CT9WMHVxDmqF8Aa0IjAj,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
Riff Raff,Powerage,AC/DC,311880,0DZwrC4QQOYqpcxCeZzwDg,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
Sin City,Powerage,AC/DC,285040,3UQQ7g6J8fiMB7oldQzBoq,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
What's Next to the Moon,Powerage,AC/DC,211813,2wr9GtUc8xPMhTVZTc191u,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
Gone Shootin',Powerage,AC/DC,305586,69MwNXryg6NT1lV7buN7U7,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
Up to My Neck in You,Powerage,AC/DC,253426,61iaXFZKvm1cGv4hBleohH,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
Kicked in the Teeth,Powerage,AC/DC,243400,0r1gRXwNZiGljDRa2EToL8,4iMaHsHqTg3rwOtRa5wEbm,711MCceyCBcFnzjGY4Q7Un
Go Down,Let There Be Rock,AC/DC,331480,7A944u5mXbkCz0I5BdLckI,3JwFNl80WWeXPiKEjIFbqa,711MCceyCBcFnzjGY4Q7Un
Dog Eat Dog,Let There Be Rock,AC/DC,214853,0L0x35hQnmCLtHeSGQlEZj,3JwFNl80WWeXPiKEjIFbqa,711MCceyCBcFnzjGY4Q7Un
Let There Be Rock,Let There Be Rock,AC/DC,366346,753KutoAy00apPsplMRetG,3JwFNl80WWeXPiKEjIFbqa,711MCceyCBcFnzjGY4Q7Un
Bad Boy Boogie,Let There Be Rock,AC/DC,267613,6HGkds3oqTAr4qyCRZmy4b,3JwFNl80WWeXPiKEjIFbqa,711MCceyCBcFnzjGY4Q7Un
Problem Child,Let There Be Rock,AC/DC,324693,5wTuWXWREngkFGtBXhOaI9,3JwFNl80WWeXPiKEjIFbqa,711MCceyCBcFnzjGY4Q7Un
Overdose,Let There Be Rock,AC/DC,369053,7EIPa69XVt6wTdLRkXklXq,3JwFNl80WWeXPiKEjIFbqa,711MCceyCBcFnzjGY4Q7Un
Hell Ain't a Bad Place to Be,Let There Be Rock,AC/DC,254120,79KUOd1p6yNjh2Jkr9IQHk,3JwFNl80WWeXPiKEjIFbqa,711MCceyCBcFnzjGY4Q7Un
Whole Lotta Rosie,Let There Be Rock,AC/DC,333800,4wYq5wugZDzQiMZQYG4wVB,3JwFNl80WWeXPiKEjIFbqa,711MCceyCBcFnzjGY4Q7Un
Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,AC/DC,231933,2d4e45fmUnguxh6yqC7gNT,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
Love at First Feel,Dirty Deeds Done Dirt Cheap,AC/DC,191466,4bP7RH0Ce8Y1XmNye0SVYs,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
Big Balls,Dirty Deeds Done Dirt Cheap,AC/DC,158773,2KmSnPWWCIsEomVsKnbE1a,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
Rocker,Dirty Deeds Done Dirt Cheap,AC/DC,171093,4eutZb21bHZerJnxqW5lB0,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
Problem Child,Dirty Deeds Done Dirt Cheap,AC/DC,345866,4cKoFvIkCA88axbQ6hfbRC,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
There's Gonna Be Some Rockin',Dirty Deeds Done Dirt Cheap,AC/DC,198173,1OFNVz8rx3pMl9FrL1IlDE,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
Ain't No Fun (Waiting Round to Be a Millionaire),Dirty Deeds Done Dirt Cheap,AC/DC,414026,73HVgj1xXW9vuiRsFAKwyr,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
Ride On,Dirty Deeds Done Dirt Cheap,AC/DC,350266,594ONMYoHlJnqHPEx98t08,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
Squealer,Dirty Deeds Done Dirt Cheap,AC/DC,327493,7EERPGGkPTXUcjXFo4o7jN,76mvVgXOde87B9aOzLXCOI,711MCceyCBcFnzjGY4Q7Un
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),High Voltage,AC/DC,301226,7nemcVsXVFZF01iqpIIo2Y,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
Rock 'N' Roll Singer,High Voltage,AC/DC,303666,65Wa8Fu1ASV3B0dz2vwKNQ,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
The Jack,High Voltage,AC/DC,352040,3k1WwLG1OXCm6iQ13VrJEL,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
Live Wire,High Voltage,AC/DC,348600,6FWoYwZa13llS7nj0SG65F,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
T.N.T.,High Voltage,AC/DC,214666,7LRMbd3LEoV5wZJvXT1Lwb,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
Can I Sit Next to You Girl,High Voltage,AC/DC,251373,75uv44LGpyL0DhyLli3aXh,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
Little Lover,High Voltage,AC/DC,338306,4XyONPP3WOcquMO5WVj4mw,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
She's Got Balls,High Voltage,AC/DC,291306,1Qvghv6QpCSB3RiycaDiWz,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
High Voltage,High Voltage,AC/DC,254200,5pLgH1bCkBV3bbmvm0qvom,19AUoKWRAaQYrggVvdQnqq,711MCceyCBcFnzjGY4Q7Un
